"request_id","event_id","preprocessed_message_id","channel","message_id","sentiment_label","sentiment_score","positive_prob","negative_prob","neutral_prob","emotion_anger","emotion_fear","emotion_joy","emotion_sadness","emotion_surprise","emotion_disgust","aspects"
"gpt_min_0001","banksta:92433","e36505fd-9474-4e02-854a-da4eadce9133","banksta","92433","negative","0.82","0.13","0.78","0.09","0","0","0","0.14","0","0","[{""aspect"":""markets"",""sentiment"":""negative"",""score"":0.8},{""aspect"":""energy"",""sentiment"":""negative"",""score"":0.8}]"
"gpt_min_0002","condottieros:18240","b546cc52-d074-49a2-9972-3c68094183aa","condottieros","18240","negative","0.77","0.12","0.73","0.15","0","0.26","0","0","0","0","[{""aspect"":""war"",""sentiment"":""negative"",""score"":0.75}]"
"gpt_min_0003","banksta:92430","0c53dd59-f98f-4b01-88a6-496a139331d3","banksta","92430","negative","0.77","0.12","0.73","0.15","0.32","0.08","0","0","0","0.17","[{""aspect"":""banking"",""sentiment"":""negative"",""score"":0.75},{""aspect"":""security"",""sentiment"":""negative"",""score"":0.75},{""aspect"":""media"",""sentiment"":""negative"",""score"":0.75}]"
"gpt_min_0004","rbc_news:147957","3fdb0905-29cd-42a8-9703-74f1d4b4a57a","rbc_news","147957","positive","0.82","0.78","0.1","0.12","0","0.13","0.08","0","0","0","[{""aspect"":""markets"",""sentiment"":""positive"",""score"":0.8},{""aspect"":""regulation"",""sentiment"":""positive"",""score"":0.8},{""aspect"":""public_health"",""sentiment"":""positive"",""score"":0.8}]"
"gpt_min_0005","banksta:92429","9260f9fe-d5b3-4376-a992-987a75641d9a","banksta","92429","neutral","0.54","0.18","0.18","0.64","0.16","0","0","0","0","0","[{""aspect"":""crypto"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""security"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""media"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0006","ru2chvg:56526","74c37c84-8da4-4f11-a9dc-7655681e7a21","ru2chvg","56526","positive","0.88","0.8235","0.098","0.0784","0","0","0.14","0","0.14","0","[{""aspect"":""technology"",""sentiment"":""positive"",""score"":0.86}]"
"gpt_min_0007","rbc_news:147956","fdbba5ee-740d-4159-bbf9-1824ba093609","rbc_news","147956","neutral","0.54","0.18","0.18","0.64","0","0.13","0.14","0.28","0","0","[{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""technology"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""transport"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0008","banksta:92428","8f62b264-a6f6-4e60-b3f7-a059176c8c8e","banksta","92428","neutral","0.59","0.12","0.47","0.41","0.16","0","0","0","0","0","[{""aspect"":""regulation"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0009","banksta:92427","210e560b-560c-4926-acf5-c9737c446311","banksta","92427","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""company_results"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0010","banksta:92425","ab46dcbb-8014-4ddb-b767-9c89a9fb2ec8","banksta","92425","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""regulation"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""media"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0011","ru2chvg:56525","e5a6166a-703e-47e3-b722-a09649a28da4","ru2chvg","56525","positive","0.77","0.73","0.1","0.17","0","0","0.08","0","0.14","0","[{""aspect"":""gaming"",""sentiment"":""positive"",""score"":0.75}]"
"gpt_min_0012","banksta:92424","32267191-9b44-404e-8222-6ed96f2eb983","banksta","92424","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""banking"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0013","rbc_news:147955","c3ec449b-0e50-42a9-92bf-d72263531d7f","rbc_news","147955","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0014","rbc_news:147954","ac2504cf-d07a-422a-aa8d-e9d6b4c35640","rbc_news","147954","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""regulation"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0015","banksta:92423","ce9ca7bc-af40-41d1-8ca9-68b219f3ebbb","banksta","92423","neutral","0.54","0.18","0.18","0.64","0","0.13","0","0","0","0","[{""aspect"":""war"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0016","ru2chvg:56524","cafb0b9c-632a-4507-9fe2-7ade668e7241","ru2chvg","56524","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""gaming"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0017","rbc_news:147953","c11037e6-bd6f-4461-807f-05f3ee14751b","rbc_news","147953","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0018","banksta:92422","982f16e2-49ed-4307-aea7-aaca0225f2fb","banksta","92422","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0019","banksta:92421","340ea97c-ea98-42fe-afbd-2a1566911d5a","banksta","92421","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""energy"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0020","banksta:92420","a88c83dd-7546-4b75-ad08-241ff8241193","banksta","92420","positive","0.77","0.73","0.1","0.17","0","0","0.08","0","0","0","[{""aspect"":""markets"",""sentiment"":""positive"",""score"":0.75}]"
"gpt_min_0021","rbc_news:147952","f500b6a4-b5fd-4e6f-b929-beb72d88ae09","rbc_news","147952","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""technology"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""transport"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0022","rbc_news:147951","1f74566b-25d1-4d48-b84b-09d618e0779e","rbc_news","147951","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0023","banksta:92419","f6c972eb-8aa9-4b5a-8fb8-39a5b9ee3d2d","banksta","92419","neutral","0.54","0.18","0.18","0.64","0.32","0.13","0","0","0","0.17","[{""aspect"":""war"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""security"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0024","ru2chvg:56520","aa006c16-78be-4c8c-9008-9e58d88adf1c","ru2chvg","56520","positive","0.72","0.68","0.1","0.22","0","0","0.08","0","0","0","[{""aspect"":""gaming"",""sentiment"":""positive"",""score"":0.7}]"
"gpt_min_0025","banksta:92415","24fb4789-9b04-4048-a1b6-38eef19078fc","banksta","92415","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""technology"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0026","rbc_news:147950","b4708615-dfc9-43a7-a978-48ac55a3ba13","rbc_news","147950","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""security"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0027","banksta:92410","bf52c184-6be8-4533-b868-de3a95c71bb0","banksta","92410","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""company_results"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""media"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0028","banksta:92409","f073e2e5-a9b5-450c-b10a-d8601bb7dc57","banksta","92409","positive","0.77","0.73","0.1","0.17","0","0","0.14","0","0","0","[{""aspect"":""banking"",""sentiment"":""positive"",""score"":0.75},{""aspect"":""technology"",""sentiment"":""positive"",""score"":0.75},{""aspect"":""retail"",""sentiment"":""positive"",""score"":0.75}]"
"gpt_min_0029","condottieros:18233","9f95fcab-99aa-40c8-8462-a7c1001797ed","condottieros","18233","neutral","0.59","0.47","0.1","0.43","0","0","0.14","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0030","rbc_news:147949","ff770562-d72e-491f-9dbd-61922368ad8c","rbc_news","147949","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""transport"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""security"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""media"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0031","rbc_news:147948","a3d3da55-a8a8-4425-b5db-abb5fd1745fe","rbc_news","147948","positive","0.77","0.73","0.1","0.17","0","0","0.08","0","0","0","[{""aspect"":""transport"",""sentiment"":""positive"",""score"":0.75},{""aspect"":""energy"",""sentiment"":""positive"",""score"":0.75}]"
"gpt_min_0032","ru2chvg:56519","13f2dc98-cf11-42d3-861c-b4e33e51380e","ru2chvg","56519","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0033","banksta:92408","80529b89-e041-4e0f-9722-8dbb6ae3ddc2","banksta","92408","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""company_results"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0034","condottieros:18232","214d4b1f-0091-4971-8a06-6193614b08c8","condottieros","18232","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""war"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0035","banksta:92407","9e783ed0-a1c6-4eb0-af23-8567a32e5213","banksta","92407","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""technology"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0036","banksta:92406","4358404d-3b9f-4a08-8b92-286f49add72f","banksta","92406","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""technology"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0037","rbc_news:147947","720fd948-7018-4573-8597-1649873e0859","rbc_news","147947","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0.14","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0038","ru2chvg:56518","855359a5-cf08-4d88-82e0-f14711482ba4","ru2chvg","56518","positive","0.72","0.68","0.1","0.22","0","0","0.08","0","0","0","[{""aspect"":""other"",""sentiment"":""positive"",""score"":0.7}]"
